architecture,model_name,operation,decoder,feature_dim,line_resolution,plane_resolution,seed,psnr,param_count,param_efficiency,training_time,psnr_history,final_loss,reconstruction
kplanes,K-planes(multiply),multiply,linear,32,32,0,42,18.98572030967418,2081,0.009123363916229784,87.46052098274231,"[np.float64(3.7922961701711673), np.float64(18.368167619928823), np.float64(18.85339020792453), np.float64(18.963354818964905), np.float64(18.977914457036327), np.float64(18.980636497742026), np.float64(18.982761149708793), np.float64(18.983294315420018), np.float64(18.983712317025436), np.float64(18.984805520592577)]",0.01263071596622467,"[[ 0.9664196   0.907024    0.8476286  ...  0.4651761   0.46553543
   0.46589476]
 [ 0.956817    0.8979219   0.8390269  ...  0.4650833   0.465172
   0.46526065]
 [ 0.94721437  0.8888199   0.83042526 ...  0.46499053  0.46480852
   0.46462655]
 ...
 [ 0.64006174  0.63575387  0.63144606 ...  0.07565805  0.0655216
   0.05538511]
 [ 0.61914873  0.6179243   0.6166999  ...  0.04222846  0.02910575
   0.0159831 ]
 [ 0.5982357   0.6000947   0.6019536  ...  0.00879884 -0.00731003
  -0.02341896]]"
kplanes,K-planes(multiply),multiply,linear,32,32,0,43,18.98572030967418,2081,0.009123363916229784,89.23367667198181,"[np.float64(3.7922961701711673), np.float64(18.368167619928823), np.float64(18.85339020792453), np.float64(18.963354818964905), np.float64(18.977914457036327), np.float64(18.980636497742026), np.float64(18.982761149708793), np.float64(18.983294315420018), np.float64(18.983712317025436), np.float64(18.984805520592577)]",0.01263071596622467,"[[ 0.9664196   0.907024    0.8476286  ...  0.4651761   0.46553543
   0.46589476]
 [ 0.956817    0.8979219   0.8390269  ...  0.4650833   0.465172
   0.46526065]
 [ 0.94721437  0.8888199   0.83042526 ...  0.46499053  0.46480852
   0.46462655]
 ...
 [ 0.64006174  0.63575387  0.63144606 ...  0.07565805  0.0655216
   0.05538511]
 [ 0.61914873  0.6179243   0.6166999  ...  0.04222846  0.02910575
   0.0159831 ]
 [ 0.5982357   0.6000947   0.6019536  ...  0.00879884 -0.00731003
  -0.02341896]]"
kplanes,K-planes(multiply),multiply,linear,32,32,0,44,18.98572030967418,2081,0.009123363916229784,89.56902408599854,"[np.float64(3.7922961701711673), np.float64(18.368167619928823), np.float64(18.85339020792453), np.float64(18.963354818964905), np.float64(18.977914457036327), np.float64(18.980636497742026), np.float64(18.982761149708793), np.float64(18.983294315420018), np.float64(18.983712317025436), np.float64(18.984805520592577)]",0.01263071596622467,"[[ 0.9664196   0.907024    0.8476286  ...  0.4651761   0.46553543
   0.46589476]
 [ 0.956817    0.8979219   0.8390269  ...  0.4650833   0.465172
   0.46526065]
 [ 0.94721437  0.8888199   0.83042526 ...  0.46499053  0.46480852
   0.46462655]
 ...
 [ 0.64006174  0.63575387  0.63144606 ...  0.07565805  0.0655216
   0.05538511]
 [ 0.61914873  0.6179243   0.6166999  ...  0.04222846  0.02910575
   0.0159831 ]
 [ 0.5982357   0.6000947   0.6019536  ...  0.00879884 -0.00731003
  -0.02341896]]"
kplanes,K-planes(multiply),multiply,linear,32,32,0,45,18.98572030967418,2081,0.009123363916229784,91.57227897644043,"[np.float64(3.7922961701711673), np.float64(18.368167619928823), np.float64(18.85339020792453), np.float64(18.963354818964905), np.float64(18.977914457036327), np.float64(18.980636497742026), np.float64(18.982761149708793), np.float64(18.983294315420018), np.float64(18.983712317025436), np.float64(18.984805520592577)]",0.01263071596622467,"[[ 0.9664196   0.907024    0.8476286  ...  0.4651761   0.46553543
   0.46589476]
 [ 0.956817    0.8979219   0.8390269  ...  0.4650833   0.465172
   0.46526065]
 [ 0.94721437  0.8888199   0.83042526 ...  0.46499053  0.46480852
   0.46462655]
 ...
 [ 0.64006174  0.63575387  0.63144606 ...  0.07565805  0.0655216
   0.05538511]
 [ 0.61914873  0.6179243   0.6166999  ...  0.04222846  0.02910575
   0.0159831 ]
 [ 0.5982357   0.6000947   0.6019536  ...  0.00879884 -0.00731003
  -0.02341896]]"
kplanes,K-planes(multiply),multiply,linear,32,32,0,46,18.98572030967418,2081,0.009123363916229784,93.10044574737549,"[np.float64(3.7922961701711673), np.float64(18.368167619928823), np.float64(18.85339020792453), np.float64(18.963354818964905), np.float64(18.977914457036327), np.float64(18.980636497742026), np.float64(18.982761149708793), np.float64(18.983294315420018), np.float64(18.983712317025436), np.float64(18.984805520592577)]",0.01263071596622467,"[[ 0.9664196   0.907024    0.8476286  ...  0.4651761   0.46553543
   0.46589476]
 [ 0.956817    0.8979219   0.8390269  ...  0.4650833   0.465172
   0.46526065]
 [ 0.94721437  0.8888199   0.83042526 ...  0.46499053  0.46480852
   0.46462655]
 ...
 [ 0.64006174  0.63575387  0.63144606 ...  0.07565805  0.0655216
   0.05538511]
 [ 0.61914873  0.6179243   0.6166999  ...  0.04222846  0.02910575
   0.0159831 ]
 [ 0.5982357   0.6000947   0.6019536  ...  0.00879884 -0.00731003
  -0.02341896]]"
kplanes,K-planes(multiply),multiply,nonconvex,32,32,0,42,23.86196500636948,4225,0.005647802368371474,112.57237815856934,"[np.float64(4.303737675529612), np.float64(20.233075784025203), np.float64(21.9102711452174), np.float64(22.491693333145307), np.float64(22.87435575224588), np.float64(22.812763155446714), np.float64(23.051376132642076), np.float64(23.438499668857986), np.float64(23.62315397436333), np.float64(22.092608531262403)]",0.004109637346118689,"[[ 0.47546858  0.48874533  0.49781024 ...  0.4165299   0.4038756
   0.38332874]
 [ 0.5475832   0.56993103  0.57265705 ...  0.42835844  0.4157036
   0.40354598]
 [ 0.61969775  0.6511167   0.64750373 ...  0.44018698  0.42772663
   0.415724  ]
 ...
 [ 0.62953335  0.67535853  0.7117004  ...  0.06088944 -0.00944363
  -0.09337048]
 [ 0.605699    0.64998275  0.6896108  ...  0.0884638   0.02707633
  -0.04231094]
 [ 0.6520361   0.68796766  0.70941365 ...  0.12177773  0.06359625
   0.00874919]]"
kplanes,K-planes(multiply),multiply,nonconvex,32,32,0,43,23.86196500636948,4225,0.005647802368371474,113.3352301120758,"[np.float64(4.303737675529612), np.float64(20.233075784025203), np.float64(21.9102711452174), np.float64(22.491693333145307), np.float64(22.87435575224588), np.float64(22.812763155446714), np.float64(23.051376132642076), np.float64(23.438499668857986), np.float64(23.62315397436333), np.float64(22.092608531262403)]",0.004109637346118689,"[[ 0.47546858  0.48874533  0.49781024 ...  0.4165299   0.4038756
   0.38332874]
 [ 0.5475832   0.56993103  0.57265705 ...  0.42835844  0.4157036
   0.40354598]
 [ 0.61969775  0.6511167   0.64750373 ...  0.44018698  0.42772663
   0.415724  ]
 ...
 [ 0.62953335  0.67535853  0.7117004  ...  0.06088944 -0.00944363
  -0.09337048]
 [ 0.605699    0.64998275  0.6896108  ...  0.0884638   0.02707633
  -0.04231094]
 [ 0.6520361   0.68796766  0.70941365 ...  0.12177773  0.06359625
   0.00874919]]"
kplanes,K-planes(multiply),multiply,nonconvex,32,32,0,44,23.86196500636948,4225,0.005647802368371474,115.1232557296753,"[np.float64(4.303737675529612), np.float64(20.233075784025203), np.float64(21.9102711452174), np.float64(22.491693333145307), np.float64(22.87435575224588), np.float64(22.812763155446714), np.float64(23.051376132642076), np.float64(23.438499668857986), np.float64(23.62315397436333), np.float64(22.092608531262403)]",0.004109637346118689,"[[ 0.47546858  0.48874533  0.49781024 ...  0.4165299   0.4038756
   0.38332874]
 [ 0.5475832   0.56993103  0.57265705 ...  0.42835844  0.4157036
   0.40354598]
 [ 0.61969775  0.6511167   0.64750373 ...  0.44018698  0.42772663
   0.415724  ]
 ...
 [ 0.62953335  0.67535853  0.7117004  ...  0.06088944 -0.00944363
  -0.09337048]
 [ 0.605699    0.64998275  0.6896108  ...  0.0884638   0.02707633
  -0.04231094]
 [ 0.6520361   0.68796766  0.70941365 ...  0.12177773  0.06359625
   0.00874919]]"
kplanes,K-planes(multiply),multiply,nonconvex,32,32,0,45,23.86196500636948,4225,0.005647802368371474,149.72802996635437,"[np.float64(4.303737675529612), np.float64(20.233075784025203), np.float64(21.9102711452174), np.float64(22.491693333145307), np.float64(22.87435575224588), np.float64(22.812763155446714), np.float64(23.051376132642076), np.float64(23.438499668857986), np.float64(23.62315397436333), np.float64(22.092608531262403)]",0.004109637346118689,"[[ 0.47546858  0.48874533  0.49781024 ...  0.4165299   0.4038756
   0.38332874]
 [ 0.5475832   0.56993103  0.57265705 ...  0.42835844  0.4157036
   0.40354598]
 [ 0.61969775  0.6511167   0.64750373 ...  0.44018698  0.42772663
   0.415724  ]
 ...
 [ 0.62953335  0.67535853  0.7117004  ...  0.06088944 -0.00944363
  -0.09337048]
 [ 0.605699    0.64998275  0.6896108  ...  0.0884638   0.02707633
  -0.04231094]
 [ 0.6520361   0.68796766  0.70941365 ...  0.12177773  0.06359625
   0.00874919]]"
kplanes,K-planes(multiply),multiply,nonconvex,32,32,0,46,23.86196500636948,4225,0.005647802368371474,117.30583500862122,"[np.float64(4.303737675529612), np.float64(20.233075784025203), np.float64(21.9102711452174), np.float64(22.491693333145307), np.float64(22.87435575224588), np.float64(22.812763155446714), np.float64(23.051376132642076), np.float64(23.438499668857986), np.float64(23.62315397436333), np.float64(22.092608531262403)]",0.004109637346118689,"[[ 0.47546858  0.48874533  0.49781024 ...  0.4165299   0.4038756
   0.38332874]
 [ 0.5475832   0.56993103  0.57265705 ...  0.42835844  0.4157036
   0.40354598]
 [ 0.61969775  0.6511167   0.64750373 ...  0.44018698  0.42772663
   0.415724  ]
 ...
 [ 0.62953335  0.67535853  0.7117004  ...  0.06088944 -0.00944363
  -0.09337048]
 [ 0.605699    0.64998275  0.6896108  ...  0.0884638   0.02707633
  -0.04231094]
 [ 0.6520361   0.68796766  0.70941365 ...  0.12177773  0.06359625
   0.00874919]]"
